0;100030
1;99992
2;100004
3;100014
4;99978
5;99984
6;100006
7;99984
8;100024
9;100014
10;100018
11;99996
12;99974
13;100014
14;99978
15;99970
16;100032
17;100008
18;99986
19;99974
20;99984
21;99980
22;99984
23;99992
24;100010
25;100018
26;100014
27;100006
28;100054
29;100002
30;100008
31;100004
32;100050
33;99996
34;100010
35;100012
36;99988
37;99992
38;100022
39;99998
40;99950
41;99966
42;99990
43;99976
44;99950
45;100002
46;100000
47;100002
48;99990
49;100046
50;99982
51;100018
52;99996
53;99968
54;99956
55;99998
56;100004
57;99994
58;100016
59;99986
60;99988
61;99970
62;99980
63;100002
64;100048
65;100006
66;100028
67;99990
68;100002
69;99988
70;99986
71;100006
72;99976
73;100026
74;99990
75;99970
76;100042
77;99992
78;100024
79;100004
80;99994
81;99996
82;99950
83;100002
84;100000
85;100012
86;99970
87;100024
88;100000
89;99960
90;100008
91;100022
92;100028
93;99998
94;99986
95;99968
96;99994
97;100024
98;99988
99;99978
