0;99940
1;99870
2;99960
3;100046
4;100032
5;100088
6;99950
7;100260
8;100210
9;100048
10;100058
11;100094
12;100132
13;100072
14;99672
15;100074
16;100044
17;99948
18;99770
19;99926
20;99746
21;100142
22;100020
23;100056
24;100070
25;100094
26;99732
27;99956
28;99958
29;99946
30;99974
31;99958
32;100060
33;99870
34;100096
35;99872
36;100050
37;100094
38;100066
39;100130
40;100044
41;100026
42;99880
43;99982
44;100056
45;100078
46;100044
47;99766
48;99908
49;100132
50;100128
51;100088
52;99894
53;100122
54;99954
55;99994
56;100138
57;99976
58;99966
59;99978
60;99982
61;99998
62;99892
63;99950
64;100104
65;100362
66;99984
67;99942
68;100010
69;100000
70;99820
71;99920
72;100198
73;99972
74;100118
75;100156
76;99856
77;100004
78;99938
79;99772
80;99992
81;99810
82;99902
83;99978
84;99834
85;99812
86;100034
87;99884
88;100112
89;99860
90;100278
91;100080
92;99890
93;99974
94;99858
95;100466
96;99990
97;99704
98;99946
99;99914
