0,1017094
1,992118
2,1013132
3,1019550
4,968568
5,980208
6,991724
7,1004612
8,1018200
9,1001806
10,1027642
11,945252
12,1058250
13,1020594
14,907398
15,997170
16,1040372
17,1028046
18,965818
19,1045598
20,1013454
21,979580
22,976466
23,1002080
24,1006664
25,965658
26,1049194
27,1016158
28,984856
29,1042304
30,934918
31,938852
32,976986
33,996148
34,969194
35,925882
36,1000312
37,1032356
38,969108
39,1017558
40,970492
41,1073380
42,1082792
43,990884
44,983432
45,992482
46,989204
47,1086240
48,968188
49,1089500
50,1044396
51,993270
52,944312
53,977764
54,965208
55,975676
56,1158070
57,995126
58,962072
59,963040
60,1000802
61,1102666
62,1020886
63,992722
64,970014
65,1001726
66,1017042
67,982296
68,1094378
69,972148
70,980358
71,1091544
72,1024172
73,1002132
74,936998
75,964148
76,999142
77,1031662
78,998006
79,1078400
80,992316
81,1066824
82,1008150
83,1002868
84,969120
85,975618
86,990274
87,1043298
88,994280
89,925958
90,1011742
91,1090096
92,1065572
93,1001140
94,1004106
95,1056874
96,978892
97,988436
98,1030854
99,973816
