0;992554
1;866412
2;1087896
3;937134
4;580280
5;1105458
6;817830
7;1260068
8;1228278
9;694876
10;1130452
11;920314
12;1425630
13;1614434
14;973734
15;1046774
16;1558780
17;789700
18;812630
19;1087910
20;888652
21;758860
22;956018
23;1194444
24;1300528
25;1130888
26;1255226
27;928510
28;773056
29;783770
30;626028
31;977390
32;957974
33;899598
34;1132556
35;826808
36;543594
37;656704
38;801864
39;1267788
40;1089274
41;1014306
42;1094050
43;725688
44;1321954
45;716134
46;1439934
47;981552
48;614286
49;1050960
50;902120
51;1017248
52;634718
53;1195984
54;1037234
55;918256
56;1167052
57;988474
58;1113510
59;575000
60;1119036
61;1173062
62;783276
63;1047254
64;958652
65;1064314
66;947572
67;649238
68;1120862
69;1702522
70;1229094
71;666852
72;900844
73;867630
74;958598
75;977810
76;809282
77;1033870
78;915486
79;677660
80;905724
81;855092
82;1135962
83;1082942
84;1355238
85;1445688
86;1116700
87;1114776
88;989054
89;976852
90;1158618
91;617748
92;1224392
93;752120
94;942166
95;1422616
96;1466788
97;810578
98;907736
99;1020742
